site,treatment,core,aromatic,counts
CPCRW,baseline,C1,aliphatic,1734
CPCRW,baseline,C1,aromatic,1332
CPCRW,baseline,C2,aliphatic,1799
CPCRW,baseline,C2,aromatic,1342
CPCRW,baseline,C3,aliphatic,1362
CPCRW,baseline,C3,aromatic,942
CPCRW,baseline,C4,aliphatic,1681
CPCRW,baseline,C4,aromatic,1288
CPCRW,baseline,C5,aliphatic,1538
CPCRW,baseline,C5,aromatic,1298
CPCRW,drought,C21,aliphatic,1271
CPCRW,drought,C21,aromatic,1254
CPCRW,drought,C22,aliphatic,1577
CPCRW,drought,C22,aromatic,1677
CPCRW,drought,C23,aliphatic,1814
CPCRW,drought,C23,aromatic,1740
CPCRW,drought,C24,aliphatic,1713
CPCRW,drought,C24,aromatic,1639
CPCRW,drought,C25,aliphatic,1800
CPCRW,drought,C25,aromatic,1612
CPCRW,field moist,C16,aliphatic,1952
CPCRW,field moist,C16,aromatic,1622
CPCRW,field moist,C17,aliphatic,1984
CPCRW,field moist,C17,aromatic,1551
CPCRW,field moist,C18,aliphatic,1883
CPCRW,field moist,C18,aromatic,1483
CPCRW,field moist,C19,aliphatic,1855
CPCRW,field moist,C19,aromatic,1443
CPCRW,field moist,C20,aliphatic,1933
CPCRW,field moist,C20,aromatic,1568
CPCRW,saturation,C11,aliphatic,2052
CPCRW,saturation,C11,aromatic,1315
CPCRW,saturation,C12,aliphatic,2127
CPCRW,saturation,C12,aromatic,1375
CPCRW,saturation,C13,aliphatic,2139
CPCRW,saturation,C13,aromatic,1208
CPCRW,saturation,C14,aliphatic,2104
CPCRW,saturation,C14,aromatic,1352
CPCRW,saturation,C15,aliphatic,2197
CPCRW,saturation,C15,aromatic,1266
CPCRW,time zero saturation,C10,aliphatic,1925
CPCRW,time zero saturation,C10,aromatic,1313
CPCRW,time zero saturation,C6,aliphatic,1882
CPCRW,time zero saturation,C6,aromatic,1203
CPCRW,time zero saturation,C7,aliphatic,2035
CPCRW,time zero saturation,C7,aromatic,1374
CPCRW,time zero saturation,C8,aliphatic,1862
CPCRW,time zero saturation,C8,aromatic,1377
CPCRW,time zero saturation,C9,aliphatic,1926
CPCRW,time zero saturation,C9,aromatic,1156
DWP,baseline,D1,aliphatic,2455
DWP,baseline,D1,aromatic,1253
DWP,baseline,D2,aliphatic,2571
DWP,baseline,D2,aromatic,1265
DWP,baseline,D3,aliphatic,2463
DWP,baseline,D3,aromatic,1346
DWP,baseline,D4,aliphatic,2578
DWP,baseline,D4,aromatic,1294
DWP,drought,D21,aliphatic,2068
DWP,drought,D21,aromatic,1472
